,class,data_class,large_class,long_method,feature_envy,refused_bequest
class,net.sourceforge.ganttproject.gui.GanttTaskPropertiesBean$Anonymous1$Anonymous2,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.about.AboutDialog,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttTaskPropertiesBean$Anonymous1$Anonymous3,0,0,0,0,0
class,net.sourceforge.ganttproject.task.ResourceAssignmentMutator,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttDialogDate$Anonymous3,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttDialogDate$Anonymous2,0,0,0,0,0
class,net.sourceforge.ganttproject.time.gregorian.FramerImpl,0,0,0,0,0
class,net.sourceforge.ganttproject.task.dependency.TaskDependencyException,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttPanelDate$GanttDialogDateDay$Anonymous6,0,0,0,0,0
class,net.sourceforge.ganttproject.resource.HumanResource,0,0,0,1,0
class,net.sourceforge.ganttproject.gui.GanttDialogPerson,0,0,0,1,0
class,net.sourceforge.ganttproject.GanttResourcePanel$GanttTableModel,0,0,0,0,0
class,net.sourceforge.ganttproject.time.TimeUnitManagerImpl,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.taskproperties.TaskDependenciesPanel,0,0,0,1,0
class,net.sourceforge.ganttproject.time.TextFormatter,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttPanelDate$Anonymous2,0,0,0,0,0
class,net.sourceforge.ganttproject.task.TaskImpl$MutatorImpl$Anonymous1,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttPanelDate$Anonymous3,0,0,0,0,0
class,net.sourceforge.ganttproject.task.TaskImpl$MutatorImpl$Anonymous2,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttPanelDate$Anonymous1,0,0,0,0,0
class,net.sourceforge.ganttproject.task.TaskImpl$MutatorImpl$Anonymous5,0,0,0,0,0
class,net.sourceforge.ganttproject.task.TaskImpl$MutatorImpl$Anonymous6,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttPanelDate$Anonymous4,0,0,0,0,0
class,net.sourceforge.ganttproject.task.TaskImpl$MutatorImpl$Anonymous3,0,0,0,0,0
class,net.sourceforge.ganttproject.export.GanttChartExportData,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttProject$TaskContainmentHierarchyFacadeImpl,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttPanelDate$Anonymous5,0,0,0,0,0
class,net.sourceforge.ganttproject.task.TaskImpl$MutatorImpl$Anonymous4,0,0,0,0,0
class,net.sourceforge.ganttproject.task.TaskImpl$MutatorImpl$Anonymous9,0,0,0,0,0
class,net.sourceforge.ganttproject.task.TaskImpl$MutatorImpl$Anonymous7,0,0,0,0,0
class,net.sourceforge.ganttproject.task.TaskImpl$MutatorImpl$Anonymous8,0,0,0,0,0
class,net.sourceforge.ganttproject.io.GanttTXTOpen,0,0,0,0,0
class,net.sourceforge.ganttproject.time.DateFrameable,0,0,0,0,0
class,net.sourceforge.ganttproject.task.dependency.TaskDependencyCollection,0,0,0,0,0
class,net.sourceforge.ganttproject.time.gregorian.GregorianTimeUnitStack$TimeFrameImpl,1,1,1,1,0
class,net.sourceforge.ganttproject.gui.about.AboutLicensePanel,0,0,0,0,0
class,net.sourceforge.ganttproject.shape.JPaintList,0,0,0,0,0
class,net.sourceforge.ganttproject.resource.ResourceEvent,0,0,0,1,0
class,net.sourceforge.ganttproject.chart.ChartHeaderImpl$1BottomUnitGridBuilder,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttOptions,1,1,0,1,0
class,net.sourceforge.ganttproject.time.gregorian.GregorianTimeUnitStack$TimeFrameImpl$LineItem,0,0,0,0,0
class,net.sourceforge.ganttproject.task.ResourceAssignment,0,0,0,0,0
class,net.sourceforge.ganttproject.shape.ColorConstants,1,0,0,0,0
class,net.sourceforge.ganttproject.gui.options.ColorSettingsPanel$Anonymous7$Anonymous8,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.options.ColorSettingsPanel$Anonymous7$Anonymous9,0,0,0,0,0
class,net.sourceforge.ganttproject.task.TaskContainmentHierarchyFacade,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttDialogProperties,0,0,0,1,0
class,net.sourceforge.ganttproject.task.event.TaskListenerAdapter,0,0,0,0,0
class,net.sourceforge.ganttproject.export.ResourceChartExportData,0,0,0,0,0
class,net.sourceforge.ganttproject.filter.GanttXMLFileFilter,0,0,0,0,0
class,net.sourceforge.ganttproject.task.TaskImpl$MutatorImpl$Anonymous12,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttTree$GanttTreeCellEditor,0,0,0,0,0
class,net.sourceforge.ganttproject.task.TaskImpl$MutatorImpl$Anonymous13,0,0,0,0,0
class,net.sourceforge.ganttproject.language.GanttLanguage,0,0,0,1,0
class,net.sourceforge.ganttproject.task.dependency.TaskDependencySliceAsDependant,0,0,0,0,0
class,net.sourceforge.ganttproject.task.TaskManagerConfig,0,0,0,0,0
class,net.sourceforge.ganttproject.chart.ChartModel,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttTaskPropertiesBean$Anonymous4,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttTaskPropertiesBean$Anonymous5,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttTaskPropertiesBean$Anonymous6,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttTaskPropertiesBean$Anonymous7,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttPreviewPrint$PreviewPanel,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttCalendar,0,0,0,1,0
class,net.sourceforge.ganttproject.gui.taskproperties.InternalStateListener,0,0,0,0,0
class,net.sourceforge.ganttproject.task.TaskImpl$MutatorImpl$Anonymous10,0,0,0,0,0
class,net.sourceforge.ganttproject.task.TaskImpl$MutatorImpl$Anonymous11,0,0,0,0,0
class,net.sourceforge.ganttproject.action.NewArtefactAction$ActiveActionProvider,0,0,0,0,0
class,net.sourceforge.ganttproject.export.JDKFontLocator,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttStatusBar$MessagePanel$Anonymous1,0,0,0,0,0
class,net.sourceforge.ganttproject.time.TimeUnitFunctionOfDateImpl$ParameterizedTimeUnitImpl,0,0,0,1,0
class,net.sourceforge.ganttproject.gui.GanttTaskPropertiesBean$Anonymous1,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttTree$GanttTreeDropListener,0,0,1,1,0
class,net.sourceforge.ganttproject.filter.GanttPDFFileFilter,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GeneralDialog$SettinsDefaultTreeCellRenderer,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttLookAndFeelInfo,0,0,0,0,0
class,net.sourceforge.ganttproject.chart.GraphicPrimitiveContainer,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.projectwizard.WizardImpl,0,0,0,0,0
class,net.sourceforge.ganttproject.task.TaskContainmentHierarchyFacade$Factory,0,0,0,0,0
class,net.sourceforge.ganttproject.filter.GanttXFIGFileFilter,0,0,0,0,0
class,net.sourceforge.ganttproject.task.dependency.TaskDependencyCollectionImpl$MutatorImpl,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttResourcePanel,0,1,0,1,0
class,net.sourceforge.ganttproject.GanttProject$Anonymous17,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.options.TopPanel,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttProject$Anonymous15,0,0,0,0,0
class,net.sourceforge.ganttproject.shape.Shape,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttProject$Anonymous16,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttProject$Anonymous10,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttProject$Anonymous13,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttProject$FacadeInvalidator,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttProject$Anonymous14,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttProject$Anonymous11,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttProject$Anonymous12,0,0,0,0,0
class,net.sourceforge.ganttproject.ResourceLoadGraphicArea$Anonymous2,0,0,0,0,0
class,net.sourceforge.ganttproject.ResourceLoadGraphicArea$Anonymous1,0,0,0,0,0
class,net.sourceforge.ganttproject.task.TaskManager,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttDialogDate,0,0,0,1,0
class,net.sourceforge.ganttproject.parser.FileFormatException,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttDialogInfo$Anonymous1,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttDialogInfo$Anonymous3,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttDialogInfo$Anonymous2,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.TestGanttRolloverButton$MouseOverHandler,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.options.WelcomeSettingsPanel,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.about.AboutPanel,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttGraphicArea$Anonymous4,0,0,1,0,0
class,net.sourceforge.ganttproject.GanttGraphicArea$Anonymous3,0,0,2,0,0
class,net.sourceforge.ganttproject.GanttGraphicArea$Anonymous2,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttGraphicArea$Anonymous1,0,0,0,0,0
class,net.sourceforge.ganttproject.task.dependency.RangeSearchFromKey,0,0,0,0,0
class,net.sourceforge.ganttproject.task.TaskManagerImpl$FacadeImpl,0,0,0,0,0
class,net.sourceforge.ganttproject.task.algorithm.RecalculateTaskScheduleAlgorithm,0,0,0,1,0
class,net.sourceforge.ganttproject.export.ProjectExportProcessor,0,0,0,1,0
class,net.sourceforge.ganttproject.task.TaskManagerImpl$FacadeFactoryImpl,0,0,0,0,0
class,net.sourceforge.ganttproject.parser.ParsingContext,0,0,0,0,0
class,net.sourceforge.ganttproject.roles.RoleManager$Access,0,0,0,0,0
class,net.sourceforge.ganttproject.task.dependency.constraint.StartFinishConstraintImpl,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.TipsDialog$Anonymous1,0,0,0,0,0
class,net.sourceforge.ganttproject.task.dependency.TaskDependencySliceImpl,0,0,0,0,0
class,net.sourceforge.ganttproject.task.event.TaskHierarchyEvent,0,0,0,0,0
class,net.sourceforge.ganttproject.parser.TaskTagHandler,0,0,0,1,0
class,net.sourceforge.ganttproject.gui.TipsDialog,0,0,0,0,0
class,net.sourceforge.ganttproject.export.ResourceChartExportProcessor,0,0,0,0,0
class,net.sourceforge.ganttproject.roles.RoleSetImpl,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.options.HTMLSettingsPanel,0,0,0,0,0
class,net.sourceforge.ganttproject.chart.ChartHeader,0,0,0,0,0
class,net.sourceforge.ganttproject.time.gregorian.GregorianTimeUnitStack,1,0,0,1,0
class,net.sourceforge.ganttproject.ResourceLoadGraphicArea,0,1,4,1,0
class,net.sourceforge.ganttproject.task.hierarchy.TaskHierarchyItem,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttResourcePanel$Anonymous1,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.DialogAligner,0,0,0,0,0
class,net.sourceforge.ganttproject.chart.ChartHeaderImpl$1TopUnitTextBuilder,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.projectwizard.WizardPage,0,0,0,0,0
class,net.sourceforge.ganttproject.io.GanttCSVExport,0,0,1,1,0
class,net.sourceforge.ganttproject.task.event.TaskDependencyEvent,0,0,0,0,0
class,net.sourceforge.ganttproject.document.AbstractURLDocument,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttResourcePanel$GanttAdjustmentListener,0,0,0,0,0
class,net.sourceforge.ganttproject.io.GanttXMLOpen$GanttXMLParser,0,0,0,1,0
class,net.sourceforge.ganttproject.IGanttProject,0,0,0,0,0
class,net.sourceforge.ganttproject.task.TaskManagerImpl$Anonymous2,0,0,0,0,0
class,net.sourceforge.ganttproject.task.TaskManagerImpl$Anonymous3,0,0,0,0,0
class,net.sourceforge.ganttproject.task.TaskManagerImpl$Anonymous4,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.about.AboutJavaInfosPanel,0,0,0,0,0
class,net.sourceforge.ganttproject.task.TaskManagerImpl$Anonymous5,0,0,0,0,0
class,net.sourceforge.ganttproject.chart.GraphicPrimitiveContainer$Text,0,0,0,0,0
class,net.sourceforge.ganttproject.task.algorithm.FindPossibleDependeesAlgorithm,0,0,0,0,0
